"page_num","page","links","abc","brand","name","price","rating","number_of_rating","size1","size2","size3","oldname","size","othersize1","othersize2","othersize3","biggestsize","dollarvalue","perml","per30ml"
4,"https://www.mecca.com/en-au/skincare/facial-serums/?page=4","https://www.mecca.com/en-au/augustinus-bader/the-serum-V-060070/?cgpath=skincare-serums",9,"Augustinus Bader","the serum 30ml","$622.00","5.0","(1 reviews)","30ml ","1 ","2 ","The Serum 30ml",30,30,0,0,30,622,20.7333333333333,622
4,"https://www.mecca.com/en-au/skincare/facial-serums/?page=4","https://www.mecca.com/en-au/augustinus-bader/the-serum-30ml-I-060070/?cgpath=skincare-serums",9,"Augustinus Bader","the serum 30ml","$622.00","5.0","(1 reviews)","30ml ","1 ","2 ","The Serum 30ml",30,30,0,0,30,622,20.7333333333333,622
2,"https://www.mecca.com/en-au/skincare/facial-serums/?page=2","https://www.mecca.com/en-au/verso/super-facial-serum-V-848784/?cgpath=skincare-serums",9,"VERSO","super facial serum","$58.00 - $216.00","3.3","(3 reviews)","10ml ",NA,NA,"Super Facial Serum",0,10,0,0,10,216,21.6,648
4,"https://www.mecca.com/en-au/skincare/facial-serums/?page=4","https://www.mecca.com/en-au/allies-of-skin/mandelic-pigmentation-corrector-night-serum-V-059511/?cgpath=skincare-serums",9,"Allies of Skin","mandelic pigmentation corrector night serum","$56.00 - $174.00","4.8","(197 reviews)","8ml ","1 ","2 ","Mandelic Pigmentation Corrector Night Serum",0,8,0,0,8,174,21.75,652.5
7,"https://www.mecca.com/en-au/skincare/facial-serums/?page=7","https://www.mecca.com/en-au/la-mer/the-regenerating-serum-I-041679/?cgpath=skincare-serums",9,"LA MER","the regenerating serum 30ml","$730.00","5.0","(1 reviews)",NA,NA,NA,"The Regenerating Serum 30ml",30,0,0,0,30,730,24.3333333333333,730
5,"https://www.mecca.com/en-au/skincare/facial-serums/?page=5","https://www.mecca.com/en-au/revive/intensite-complete-anti-aging-serum-I-043085/?cgpath=skincare-serums",9,"RéVive","intensité complete anti-aging serum 30ml","$830.00","4.8","(28 reviews)",NA,NA,NA,"Intensité Complete Anti-Aging Serum 30ml",30,0,0,0,30,830,27.6666666666667,830
5,"https://www.mecca.com/en-au/skincare/facial-serums/?page=5","https://www.mecca.com/en-au/111skin/black-diamond-serum-I-064564/?cgpath=skincare-serums",9,"111SKIN","black diamond serum 30ml","$898.00","4.0","(2 reviews)",NA,NA,NA,"Black Diamond Serum 30 ml",30,0,0,0,30,898,29.9333333333333,898
1,"https://www.mecca.com/en-au/skincare/facial-serums/?page=1","https://www.mecca.com/en-au/augustinus-bader/the-retinol-serum-V-063821/?cgpath=skincare-serums",9,"Augustinus Bader","the retinol serum","$303.00 - $583.00","0","(Write a review)","15ml ",NA,NA,"The Retinol Serum",0,15,0,0,15,583,38.8666666666667,1166
7,"https://www.mecca.com/en-au/skincare/facial-serums/?page=7","https://www.mecca.com/en-au/beautybio/r45-the-reversal-3-phase-retinol-booster-system-I-045426/?cgpath=skincare-serums",9,"BeautyBio","r45 the reversal 3-phase retinol booster system 2 x 5ml","$266.00","5.0","(1 reviews)",NA,NA,NA,"R45 The Reversal 3-Phase Retinol Booster System 2 x 5ml",5,0,0,0,5,266,53.2,1596
8,"https://www.mecca.com/en-au/skincare/facial-serums/?page=8","https://www.mecca.com/en-au/chantecaille/gold-recovery-intense-concentrate-pm-I-049142/?cgpath=skincare-serums",6,"Chantecaille","gold recovery intense concentrate pm 6ml x 4","$564.00","0","(Write a review)","0 ",NA,NA,"Gold Recovery Intense Concentrate PM 6ml x 4",6,0,0,0,6,564,94,2820
