"page_num","page","links","abc","brand","name","price","rating","number_of_rating","size1","size2","size3","size4","size5","oldname","size","othersize1","othersize2","othersize3","othersize4","othersize5","biggestsize","dollarvalue","perml","per50ml"
1,"https://www.mecca.com/en-au/skincare/moisturisers/?page=1","https://www.mecca.com/en-au/kate-somerville/goat-milk-moisturising-cream-I-024271/?cgpath=skincare-moisturiser",11,"Kate Somerville","mloat milk moisturisinml cream 50ml","$126.00","4.4","(201 reviews)",NA,NA,NA,"4 ","5 ","Goat Milk Moisturising Cream 50ml",50,0,0,0,0,0,50,126,2.52,126
2,"https://www.mecca.com/en-au/skincare/moisturisers/?page=2","https://www.mecca.com/en-au/emma-lewisham/illuminating-brighten-your-day-creme-V-057710/?cgpath=skincare-moisturiser",11,"Emma Lewisham","illuminatinml brimlhten your day crème","$116.00 - $126.00","4.6","(108 reviews)","refill ","50ml ","1 ","2 ","3 ","Illuminating Brighten Your Day Crème",0,0,50,0,0,0,50,126,2.52,126
4,"https://www.mecca.com/en-au/skincare/moisturisers/?page=4","https://www.mecca.com/en-au/kate-somerville/oil-free-moisturiser-V-013691/?cgpath=skincare-moisturiser",11,"Kate Somerville","oil free moisturiser 50ml","$126.00","4.4","(38 reviews)","50ml ",NA,"2 ",NA,NA,"Oil Free Moisturiser 50ml",50,50,0,0,0,0,50,126,2.52,126
5,"https://www.mecca.com/en-au/skincare/moisturisers/?page=5","https://www.mecca.com/en-au/kate-somerville/hydrakate-recharging-water-cream-I-057784/?cgpath=skincare-moisturiser",11,"Kate Somerville","hydrakate recharmlinml water cream 50ml","$126.00","4.8","(12 reviews)",NA,NA,NA,"4 ","5 ","HydraKate Recharging Water Cream 50ml",50,0,0,0,0,0,50,126,2.52,126
7,"https://www.mecca.com/en-au/skincare/moisturisers/?page=7","https://www.mecca.com/en-au/malin-goetz/advanced-renewal-moisturiser-I-038106/?cgpath=skincare-moisturiser",11,"MALIN+GOETZ","advanced renewal moisturiser 50ml","$126.00","4.7","(7 reviews)",NA,NA,NA,"4 ","5 ","Advanced Renewal Moisturiser 50ml",50,0,0,0,0,0,50,126,2.52,126
2,"https://www.mecca.com/en-au/skincare/moisturisers/?page=2","https://www.mecca.com/en-au/dr-barbara-sturm/microbiotic-balancing-face-cream-I-063796/?cgpath=skincare-moisturiser",11,"Dr. Barbara Sturm","microbiotic balancinml face cream 50ml","$127.00","4.8","(332 reviews)",NA,NA,NA,"4 ","5 ","Microbiotic Balancing Face Cream 50ml",50,0,0,0,0,0,50,127,2.54,127
7,"https://www.mecca.com/en-au/skincare/moisturisers/?page=7","https://www.mecca.com/en-au/susanne-kaufmann/nourishing-day-cream-I-056626/?cgpath=skincare-moisturiser",11,"Susanne Kaufmann","nourishinml day cream 50ml","$127.00","5.0","(2 reviews)",NA,NA,NA,"4 ","5 ","Nourishing Day Cream 50ml",50,0,0,0,0,0,50,127,2.54,127
1,"https://www.mecca.com/en-au/skincare/moisturisers/?page=1","https://www.mecca.com/en-au/clinique/smart-clinical-repair-spf-15-wrinkle-correcting-cream-I-067656/?cgpath=skincare-moisturiser",11,"Clinique","smart clinical repair spf 15 wrinkle correctinml cream 50ml","$128.00","0","(Write a review)",NA,NA,NA,"4 ","5 ","Smart Clinical Repair SPF 15 Wrinkle Correcting Cream 50ml",50,0,0,0,0,0,50,128,2.56,128
6,"https://www.mecca.com/en-au/skincare/moisturisers/?page=6","https://www.mecca.com/en-au/clinique/smart-clinical-repair-wrinkle-correcting-cream-I-057682/?cgpath=skincare-moisturiser",11,"Clinique","smart clinical repair™ wrinkle correctinml cream 50ml","$128.00","0","(Write a review)",NA,NA,NA,"4 ","5 ","Smart Clinical Repair™ Wrinkle Correcting Cream 50ml",50,0,0,0,0,0,50,128,2.56,128
9,"https://www.mecca.com/en-au/skincare/moisturisers/?page=9","https://www.mecca.com/en-au/yves-saint-laurent/pure-shots-perfect-plumper-cream-refill-V-852791/?cgpath=skincare-moisturiser",6,"Yves Saint Laurent","pure shots perfect plumper cream - refill 50ml","$128.00","4.8","(29 reviews)","0 ",NA,NA,NA,NA,"Pure Shots Perfect Plumper Cream - Refill 50ml",50,0,0,0,0,0,50,128,2.56,128
1,"https://www.mecca.com/en-au/skincare/moisturisers/?page=1","https://www.mecca.com/en-au/kiehls/super-multi-corrective-soft-cream-I-066026/?cgpath=skincare-moisturiser",11,"Kiehl's","super multi corrective soft cream 50ml","$129.00","4.5","(4 reviews)",NA,NA,NA,"4 ","5 ","Super Multi Corrective Soft Cream 50ml",50,0,0,0,0,0,50,129,2.58,129
4,"https://www.mecca.com/en-au/skincare/moisturisers/?page=4","https://www.mecca.com/en-au/kiehls/super-multi-corrective-cream-I-045377/?cgpath=skincare-moisturiser",11,"Kiehl's","super multi-corrective cream 50ml","$129.00","4.7","(416 reviews)",NA,NA,NA,"4 ","5 ","Super Multi-Corrective Cream 50ML",50,0,0,0,0,0,50,129,2.58,129
6,"https://www.mecca.com/en-au/skincare/moisturisers/?page=6","https://www.mecca.com/en-au/juice-beauty/stem-cellular-anti-wrinkle-overnight-cream-I-035485/?cgpath=skincare-moisturiser",11,"Juice Beauty","stem cellular anti-wrinkle overnimlht cream 50ml","$129.00","4.7","(15 reviews)",NA,NA,NA,"4 ","5 ","Stem Cellular Anti-Wrinkle Overnight Cream 50ml",50,0,0,0,0,0,50,129,2.58,129
1,"https://www.mecca.com/en-au/skincare/moisturisers/?page=1","https://www.mecca.com/en-au/glow-recipe/watermelon-glow-pink-juice-moisturizer-V-038854/?cgpath=skincare-moisturiser",11,"Glow Recipe","watermelonmllow pink juice moisturizer","$35.00 - $65.00","4.7","(2181 reviews)","25ml ",NA,"2 ",NA,NA,"Watermelon Glow Pink Juice Moisturizer",0,25,0,0,0,0,25,65,2.6,130
4,"https://www.mecca.com/en-au/skincare/moisturisers/?page=4","https://www.mecca.com/en-au/charlotte-tilbury/charlottes-magic-water-cream-refill-I-061896/?cgpath=skincare-moisturiser",11,"Charlotte Tilbury","charlotte's mamlic water cream refill 50ml","$130.00","5.0","(1 reviews)",NA,NA,NA,"4 ","5 ","Charlotte's Magic Water Cream Refill 50ml",50,0,0,0,0,0,50,130,2.6,130
8,"https://www.mecca.com/en-au/skincare/moisturisers/?page=8","https://www.mecca.com/en-au/lancome/hydra-zen-neurocalm-night-cream-I-015537/?cgpath=skincare-moisturiser",11,"Lancome","hydra zen neurocalm nimlht cream 50ml","$130.00","4.7","(84 reviews)",NA,NA,NA,"4 ","5 ","Hydra Zen Neurocalm Night Cream 50ml",50,0,0,0,0,0,50,130,2.6,130
6,"https://www.mecca.com/en-au/skincare/moisturisers/?page=6","https://www.mecca.com/en-au/clinique/smart-clinical-repair-lifting-face-neck-cream-I-063780/?cgpath=skincare-moisturiser",11,"Clinique","smart clinical repair liftinml face + neck cream 50ml","$135.00","0","(Write a review)",NA,NA,NA,"4 ","5 ","Smart Clinical Repair Lifting Face + Neck Cream 50ml",50,0,0,0,0,0,50,135,2.7,135
6,"https://www.mecca.com/en-au/skincare/moisturisers/?page=6","https://www.mecca.com/en-au/estee-lauder/revitalizing-supreme-cell-power-creme-refill-50ml-I-053898/?cgpath=skincare-moisturiser",11,"Estée Lauder","revitalizinml supreme+ cell power crème refill 50ml 50ml","$136.00","5.0","(2 reviews)",NA,NA,NA,"4 ","5 ","Revitalizing Supreme+ Cell Power Crème Refill 50ml 50ml",50,0,0,0,0,0,50,136,2.72,136
6,"https://www.mecca.com/en-au/skincare/moisturisers/?page=6","https://www.mecca.com/en-au/facegym/supreme-restructure-collagen-boosting-ceramide-cream-refill-I-058353/?cgpath=skincare-moisturiser",11,"FaceGym","supreme restructure collamlen-boostinml ceramide cream refill 50ml","$136.00","0","(Write a review)",NA,NA,NA,"4 ","5 ","Supreme Restructure Collagen-Boosting Ceramide Cream Refill 50ml",50,0,0,0,0,0,50,136,2.72,136
4,"https://www.mecca.com/en-au/skincare/moisturisers/?page=4","https://www.mecca.com/en-au/perricone-md/high-potency-classics-retinol-recovery-overnight-moisturizer-I-060258/?cgpath=skincare-moisturiser",11,"Perricone MD","himlh potency classics retinol recovery overnimlht moisturizer 60ml","$164.00","4.7","(395 reviews)",NA,NA,NA,"4 ","5 ","High Potency Classics Retinol Recovery Overnight Moisturizer 60ml",60,0,0,0,0,0,60,164,2.73333333333333,136.666666666667
4,"https://www.mecca.com/en-au/skincare/moisturisers/?page=4","https://www.mecca.com/en-au/eve-lom/tlc-cream-I-008505/?cgpath=skincare-moisturiser",11,"Eve Lom","tlc cream 50ml","$138.00","4.5","(121 reviews)",NA,NA,NA,"4 ","5 ","TLC Cream 50ml",50,0,0,0,0,0,50,138,2.76,138
8,"https://www.mecca.com/en-au/skincare/moisturisers/?page=8","https://www.mecca.com/en-au/chantecaille/oil-free-balancing-moisturizer-I-057069/?cgpath=skincare-moisturiser",6,"Chantecaille","oil free balancinml moisturizer 50ml","$141.00","0","(Write a review)","0 ",NA,NA,NA,NA,"Oil Free Balancing Moisturizer 50ml",50,0,0,0,0,0,50,141,2.82,141
7,"https://www.mecca.com/en-au/skincare/moisturisers/?page=7","https://www.mecca.com/en-au/elizabeth-arden/advanced-ceramide-lift-firm-day-cream-50ml-I-057846/?cgpath=skincare-moisturiser",11,"Elizabeth Arden","advanced ceramide lift & firm day cream 50ml 50ml","$145.00","3.9","(113 reviews)",NA,NA,NA,"4 ","5 ","Advanced Ceramide Lift & Firm Day Cream 50ml 50ml",50,0,0,0,0,0,50,145,2.9,145
9,"https://www.mecca.com/en-au/skincare/moisturisers/?page=9","https://www.mecca.com/en-au/elizabeth-arden/advanced-ceramide-lift-firm-day-cream-spf-15-50ml-I-057848/?cgpath=skincare-moisturiser",6,"Elizabeth Arden","advanced ceramide lift & firm day cream spf 15 50ml 50ml","$145.00","5.0","(4 reviews)","0 ",NA,NA,NA,NA,"Advanced Ceramide Lift & Firm Day Cream SPF 15 50ml 50ml",50,0,0,0,0,0,50,145,2.9,145
4,"https://www.mecca.com/en-au/skincare/moisturisers/?page=4","https://www.mecca.com/en-au/by-terry/hyaluronic-global-face-cream-V-048893/?cgpath=skincare-moisturiser",11,"By Terry","hyaluronicmllobal face cream 50ml","$146.00","4.7","(119 reviews)","50ml ",NA,"2 ",NA,NA,"Hyaluronic Global Face Cream 50ml",50,50,0,0,0,0,50,146,2.92,146
4,"https://www.mecca.com/en-au/skincare/moisturisers/?page=4","https://www.mecca.com/en-au/dermalogica/sound-sleep-cocoon-transformative-night-gel-cream-I-031529/?cgpath=skincare-moisturiser",11,"Dermalogica","sound sleep cocoon transformative nimlhtmlel-cream 50ml","$146.00","4.6","(440 reviews)",NA,NA,NA,"4 ","5 ","Sound Sleep Cocoon Transformative Night Gel-Cream 50ml",50,0,0,0,0,0,50,146,2.92,146
7,"https://www.mecca.com/en-au/skincare/moisturisers/?page=7","https://www.mecca.com/en-au/shiseido/uplifting-and-firming-day-cream-I-044676/?cgpath=skincare-moisturiser",11,"Shiseido","upliftinml and firminml day cream 50ml","$148.00","4.8","(176 reviews)",NA,NA,NA,"4 ","5 ","Uplifting and Firming Day Cream 50ML",50,0,0,0,0,0,50,148,2.96,148
2,"https://www.mecca.com/en-au/skincare/moisturisers/?page=2","https://www.mecca.com/en-au/charlotte-tilbury/charlottes-magic-water-cream-V-061895/?cgpath=skincare-moisturiser",11,"Charlotte Tilbury","charlotte's mamlic water cream","$50.00 - $149.00","3.3","(7 reviews)","50ml ","15ml ","1 ","2 ","3 ","Charlotte's Magic Water Cream",0,50,15,0,0,0,50,149,2.98,149
4,"https://www.mecca.com/en-au/skincare/moisturisers/?page=4","https://www.mecca.com/en-au/charlotte-tilbury/charlottes-magic-cream-light-V-900191/?cgpath=skincare-moisturiser",11,"Charlotte Tilbury","charlotte's mamlic cream limlht","$50.00 - $149.00","4.0","(13 reviews)","50ml ","15ml ","1 ","2 ","3 ","Charlotte's Magic Cream Light",0,50,15,0,0,0,50,149,2.98,149
5,"https://www.mecca.com/en-au/skincare/moisturisers/?page=5","https://www.mecca.com/en-au/verso/nourishing-cream-I-038778/?cgpath=skincare-moisturiser",11,"VERSO","nourishinml cream 50ml","$149.00","4.4","(28 reviews)",NA,NA,NA,"4 ","5 ","Nourishing Cream 50ml",50,0,0,0,0,0,50,149,2.98,149
7,"https://www.mecca.com/en-au/skincare/moisturisers/?page=7","https://www.mecca.com/en-au/yves-saint-laurent/pure-shots-perfect-plumper-cream-V-852790/?cgpath=skincare-moisturiser",11,"Yves Saint Laurent","pure shots perfect plumper cream 50ml","$149.00","4.8","(26 reviews)","50ml ",NA,"2 ",NA,NA,"Pure Shots Perfect Plumper Cream 50ml",50,50,0,0,0,0,50,149,2.98,149
2,"https://www.mecca.com/en-au/skincare/moisturisers/?page=2","https://www.mecca.com/en-au/emma-lewisham/supernatural-face-creme-riche-V-057718/?cgpath=skincare-moisturiser",11,"Emma Lewisham","supernatural face crème riche","$36.00 - $150.00","4.7","(360 reviews)","50ml ","9ml ","refill ","1 ","2 ","Supernatural Face Crème Riche",0,50,9,0,0,0,50,150,3,150
6,"https://www.mecca.com/en-au/skincare/moisturisers/?page=6","https://www.mecca.com/en-au/goldfaden-md/wake-up-call-I-021948/?cgpath=skincare-moisturiser",11,"Goldfaden MD","wake up call 50ml","$151.00","4.5","(28 reviews)",NA,NA,NA,"4 ","5 ","Wake Up Call 50ml",50,0,0,0,0,0,50,151,3.02,151
5,"https://www.mecca.com/en-au/skincare/moisturisers/?page=5","https://www.mecca.com/en-au/dermalogica/super-rich-repair-I-057800/?cgpath=skincare-moisturiser",11,"Dermalogica","super rich repair 50ml","$152.00","4.9","(167 reviews)",NA,NA,NA,"4 ","5 ","Super Rich Repair 50ml",50,0,0,0,0,0,50,152,3.04,152
